STN,MMDDYY,EVAP
,04/27/2017,1.9
,04/28/2017,1.9
,04/29/2017,2.8
,04/30/2017,3.7
,05/01/2017,2.2
,05/02/2017,1.3
,05/03/2017,1.5
,05/04/2017,1.2
,05/05/2017,0.7
,05/06/2017,2.3
,05/07/2017,3.5
,05/08/2017,2.6
,05/09/2017,2.9
,05/10/2017,1.9
,05/11/2017,4
,05/12/2017,1.6
,05/13/2017,2.7
,05/14/2017,2.9
,05/15/2017,4.2
,05/16/2017,2.2
,05/17/2017,4
,05/18/2017,1.9
,05/19/2017,1.3
,05/20/2017,3.6
,05/21/2017,3.7
,05/22/2017,4.4
,05/23/2017,3.4
,05/24/2017,2.3
,05/25/2017,4
,05/26/2017,4.4
,05/27/2017,5.4
,05/28/2017,4.8
,05/29/2017,4.1
,05/30/2017,2.5
,05/31/2017,4.3
,06/01/2017,4.6
,06/02/2017,4.8
,06/03/2017,3.6
,06/04/2017,2.8
,06/05/2017,3.9
,06/06/2017,3
,06/07/2017,1.1
,06/08/2017,1.8
,06/09/2017,1.8
,06/10/2017,3.1
,06/11/2017,4.6
,06/12/2017,2.1
,06/13/2017,3.3
,06/14/2017,4.8
,06/15/2017,4.2
,06/16/2017,3.3
,06/17/2017,1
,06/18/2017,5.2
,06/19/2017,5.2
,06/20/2017,4
,06/21/2017,4.8
,06/22/2017,3.9
,06/23/2017,2.6
,06/24/2017,2
,06/25/2017,2
,06/26/2017,3.9
,06/27/2017,3.8
,06/28/2017,1.7
,06/29/2017,2.1
,06/30/2017,1.5
,07/01/2017,2.5
,07/02/2017,2.7
,07/03/2017,2.9
,07/04/2017,3.7
,07/05/2017,2.7
,07/06/2017,4.5
,07/07/2017,3.4
,07/08/2017,2.5
,07/09/2017,4.3
,07/10/2017,3.2
,07/11/2017,2.5
,07/12/2017,1.9
,07/13/2017,3
,07/14/2017,2.4
,07/15/2017,2.6
,07/16/2017,1.4
,07/17/2017,3.8
,07/18/2017,4.4
,07/19/2017,4.1
,07/20/2017,1.9
,07/21/2017,4.4
,07/22/2017,3.4
,07/23/2017,2.7
,07/24/2017,1.7
,07/25/2017,1.6
,07/26/2017,3.4
,07/27/2017,2.4
,07/28/2017,3.1
,07/29/2017,2.1
,07/30/2017,2.8
,07/31/2017,2.6
,08/01/2017,2.2
,08/02/2017,2.9
,08/03/2017,2.5
,08/04/2017,2.3
,08/05/2017,2.2
,08/06/2017,3.8
,08/07/2017,4
,08/08/2017,2
,08/09/2017,3
,08/10/2017,2.4
,08/11/2017,2
,08/12/2017,1.5
,08/13/2017,2.8
,08/14/2017,4.1
,08/15/2017,2.4
,08/16/2017,3.5
,08/17/2017,1.1
,08/18/2017,1.9
,08/19/2017,2.6
,08/20/2017,2
,08/21/2017,2.8
,08/22/2017,3.3
,08/23/2017,3.5
,08/24/2017,2.8
,08/25/2017,3.3
,08/26/2017,2.7
,08/27/2017,3
,08/28/2017,3.1
,08/29/2017,3.3
,08/30/2017,1.3
,08/31/2017,2
,09/01/2017,2.6
,09/02/2017,2.2
,09/03/2017,2.8
,09/04/2017,2.9
,09/05/2017,1.4
,09/06/2017,1.4
,09/07/2017,1.6
,09/08/2017,0.6
,09/09/2017,1.2
,09/10/2017,2.6
,09/11/2017,2
,09/12/2017,2.1
,09/13/2017,1.7
,09/14/2017,1.7
,09/15/2017,2.4
,09/16/2017,0.9
,09/17/2017,2
,09/18/2017,1
,09/19/2017,1.7
,09/20/2017,0.4
,09/21/2017,1.9
